original_index,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,original_prediction,alternative_prediction
7,A12,45,A33,A43,14391,A64,A72,2,Female,A101,3,A123,20,A143,A151,1,A172,1,A192,A201,0,1
7,A12,45,A33,A43,14391,A64,A72,2,Male,A101,3,A123,22,A143,A151,1,A172,1,A192,A201,0,1
10,A11,7,A34,A46,2286,A61,A72,4,Male,A103,3,A124,21,A142,A151,2,A171,2,A192,A202,0,1
32,A12,48,A31,A40,2376,A63,A73,2,Female,A102,1,A124,21,A142,A153,1,A172,2,A192,A202,0,1
32,A12,48,A31,A40,2376,A63,A73,2,Male,A102,1,A124,20,A142,A153,1,A172,2,A192,A202,0,1
38,A12,21,A30,A41,1478,A64,A73,1,Female,A101,3,A122,24,A142,A152,2,A171,2,A191,A201,0,1
44,A12,13,A34,A49,14391,A63,A75,4,Female,A101,4,A123,35,A141,A153,2,A171,2,A191,A201,0,1
47,A12,45,A33,A49,1478,A61,A72,4,Male,A101,4,A122,57,A143,A152,2,A171,2,A191,A201,0,1
47,A12,45,A33,A49,1478,A61,A72,4,Female,A101,4,A122,19,A143,A152,2,A171,2,A191,A201,0,1
48,A13,48,A32,A49,14391,A64,A74,2,Male,A101,4,A122,45,A141,A151,2,A171,1,A192,A201,1,0
63,A14,45,A30,A45,14391,A63,A74,2,Female,A102,3,A124,20,A141,A153,3,A171,2,A191,A202,0,1
71,A11,45,A32,A410,1478,A65,A72,4,Female,A101,4,A122,22,A141,A153,4,A171,2,A191,A201,0,1
72,A14,48,A34,A410,14391,A61,A72,2,Female,A103,4,A122,25,A141,A151,1,A171,2,A192,A202,0,1
72,A14,48,A34,A410,14391,A61,A72,2,Male,A103,4,A122,25,A141,A151,1,A171,2,A192,A202,0,1
79,A11,45,A30,A48,2376,A62,A72,4,Male,A102,4,A121,24,A141,A153,2,A171,2,A191,A202,1,0
